category,severity,source_file,table,field,issue,affected_rows,example,recommendation
date_label,medium,영남대학교_단과대학별_월별_전기사용량(2024.01~2026.06).xlsx,Sheet1 header,raw_period_label,"월별 누적 검침표 헤더에 실제로 존재하지 않는 날짜가 있음: 2024-11-31, 2026-04-31.",2,2024-11-31 / 2026-04-31,일자 자체를 쓰지 말고 report_month=YYYY-MM만 사용.
semantics,high,영남대학교_단과대학별_월별_전기사용량(2024.01~2026.06).xlsx,Sheet1,cumulative_reading_kwh,파일명은 월별 전기사용량처럼 보이지만 값은 월 사용량이 아니라 누적 검침값임.,1769,공대건축관 2026-02 사용량 = 2026-02 누적 - 2026-01 누적,월 사용량은 현재월 누적값 - 전월 누적값으로 계산한 processed/building_monthly_usage_from_cumulative_long.csv를 사용.
identifier,medium,영남대학교_단과대학별_월별_전기사용량(2024.01~2026.06).xlsx,Sheet1,building_name,건물명이 비어 있지만 누적값이 있는 meter row가 존재함.,18,parent_building_name 기준으로 임시 추적 가능,건물 매핑 전에는 리그/예측 기준선 산정에 사용하지 말고 별도 파일 building_monthly_unnamed_meter_rows.csv에서 검토.
value_type,medium,영남대학교_단과대학별_월별_전기사용량(2024.01~2026.06).xlsx,Sheet1,raw_value,일부 월별 누적값 칸에 숫자가 아니라 건물명 텍스트가 들어 있음.,33,"약학대학, 정보통신연구소",숫자로 변환되지 않는 값은 결측으로 처리. 원본 검침값 확인 필요.
derived_usage,high,영남대학교_단과대학별_월별_전기사용량(2024.01~2026.06).xlsx,building_monthly_usage_from_cumulative_long,monthly_usage_kwh,누적값 차분 결과 음수 월사용량이 발생함. 원본 누적 검침값 오타 또는 계량기 리셋 가능성.,2,공대소재관 2024-03 -3469829.0; 국제교류센타(구:종합복지관) 2024-07 -2933800.0,해당 건물/월은 기준선 계산에서 제외하거나 원본 확인 후 수정.
date_label,low,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월/6월 일별 섹션,날짜,"4월 31일, 6월 31일처럼 유효하지 않은 날짜 행이 있음.",2,"4월데이터 31일, 6월데이터 31일",processed/building_daily_usage_2026_04_06_long.csv에서는 유효하지 않은 날짜를 제외.
missingness,medium,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,usage_kwh,6월 25~30일은 전 건물이 0으로 들어간 미래/미관측 placeholder로 보임.,192,2026-06-25~2026-06-30,usage_kwh는 결측으로 변환했고 raw 값은 usage_kwh_raw에 보존.
partial_day,medium,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",6월데이터,usage_kwh,6월 24일 값은 상단 표의 금일사용량과 일치하여 하루 전체가 아닌 부분일 가능성이 큼.,32,is_partial_day=True,평가용 데이터에서는 2026-06-24를 제외하거나 partial flag로 분리.
outlier,high,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",building_daily_usage_2026_04_06_long,usage_kwh,건물별 월 중앙값 대비 10배를 넘는 일사용량 후보가 있음.,3,2026-06-24 과학도서관 2139771.0; 2026-06-24 정보전산원 2139771.0; 2026-05-07 제1인문관심야 5657461.0,예측/리그 계산 전 원본 확인 또는 winsorize/exclude 정책 필요.
duplicate_columns,high,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4~6월 일별 섹션,building columns,서로 다른 건물명이 완전히 동일한 일별 값 시퀀스를 갖는 컬럼 그룹이 있음.,2,IT관 / 중앙기기센터분관 / 학생지원센터; 중앙도서관 / 천마아트센터,해당 건물들은 실제 값인지 복사/붙여넣기 오류인지 확인 전 리그 순위에서 보수적으로 제외 권장.
reconciliation,medium,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",monthly top vs daily sections,usage_kwh,"상단 월사용량과 일별 합계가 1,000kWh 이상 차이 나는 건물/월이 있음.",15,IT관 2026-04 7361.0; IT관 2026-05 5814.0; IT관 2026-06 7944.0; 과학도서관 2026-06 7635.0; 섬유관 2026-06 2515.0,월별 기준선 검증 시 building_daily_vs_monthly_check_2026_04_06.csv를 먼저 확인.
